Extension,Language
.apex,Apex
.apexp,Apex
.apexp,JavaScript
.app,JavaScript
.asax,CSharp
.ascx,CSharp
.ascx,JavaScript
.ascx,VbNet
.ascx,VbScript
.asp,ASP
.asp,JavaScript
.asp,VbScript
.aspx,CSharp
.aspx,JavaScript
.aspx,VbNet
.aspx,VbScript
.bas,VB6
.c,CPP
.c++,CPP
.cc,CPP
.cgi,Perl
.cgi,PHP
.cgi,Ruby
.cls,Apex
.cls,VB6
.cmp,JavaScript
.component,Apex
.component,JavaScript
.conf,Scala
.config,CSharp
.config,VbNet
.cpp,CPP
.cs,CSharp
.cshtml,CSharp
.cshtml,JavaScript
.cshtml,VbScript
.ctl,VB6
.ctp,JavaScript
.ctp,PHP
.cxx,CPP
.dsr,VB6
.ec,CPP
.erb,Ruby
.evt,JavaScript
.frm,VB6
.go,Go
.gradle,Groovy
.groovy,Groovy
.gsh,Groovy
.gsp,Groovy
.gtl,Python
.gvy,Groovy
.gy,Groovy
.h,CPP
.h,Objc
.h++,CPP
.handlebars,JavaScript
.handlebars,Typescript
.hbs,JavaScript
.hbs,Typescript
.hh,CPP
.hpp,CPP
.htm,JavaScript
.htm,VbScript
.html,JavaScript
.html,Python
.html,Typescript
.html,VbScript
.hxx,CPP
.inc,Unknown
.jade,JavaScript
.java,Java
.js,JavaScript
.js,Typescript
.jsf,Java
.jsf,JavaScript
.json,JavaScript
.jsp,Java
.jsp,JavaScript
.jspf,Java
.jspf,JavaScript
.lock,Ruby
.m,Objc
.master,CSharp
.master,JavaScript
.master,VbNet
.master,VbScript
.-meta.xml,Apex
.mf,Java
.object,Apex
.page,Apex
.page,JavaScript
.pck,PLSQL
.php,JavaScript
.php,PHP
.php3,JavaScript
.php3,PHP
.php4,JavaScript
.php4,PHP
.php5,JavaScript
.php5,PHP
.phtm,PHP
.phtml,JavaScript
.phtml,PHP
.pkb,PLSQL
.pkh,PLSQL
.pks,PLSQL
.pl,Perl
.plist,Objc
.pls,PLSQL
.plx,Perl
.pm,Perl
.properties,Unknown
.psgi,Perl
.py,Python
.rb,Ruby
.report,Apex
.rhtml,Ruby
.rjs,Ruby
.rxml,Ruby
.scala,Scala
.should_neve_match_anything_9gdfg4,Common
.sql,PLSQL
.swift,Objc
.tag,CSharp
.tag,Java
.tag,JavaScript
.tgr,Apex
.tld,Java
.tpl,PHP
.trigger,Apex
.ts,Typescript
.tsx,Typescript
.twig,PHP
.vb,VbNet
.vbp,VB6
.vbs,VbScript
.wod,Java
.workflow,Apex
.xaml,CSharp
.xaml,VbNet
.xhtml,Java
.xhtml,JavaScript
.xib,Objc
.xml,CSharp
.xml,Java
.xml,JavaScript
.xml,VbNet
.xsaccess,JavaScript
.xsapp,JavaScript
.xsjs,JavaScript
.xsjslib,JavaScript
